chlorides,density,pH,sulphates,quality
0.076,0.9978,3.51,0.56,Medium
0.098,0.9968,3.2,0.68,Medium
0.092,0.997,3.26,0.65,Medium
0.076,0.9978,3.51,0.56,Medium
0.075,0.9978,3.51,0.56,Medium
0.069,0.9964,3.3,0.46,Medium
0.097,0.9959,3.28,0.54,Medium
0.089,0.9943,3.58,0.52,Medium
0.114,0.9974,3.26,1.56,Medium
0.082,0.9982,3.52,0.65,Medium
0.106,0.9966,3.17,0.91,Medium
0.084,0.9968,3.17,0.53,Medium
0.08,0.9955,3.34,0.56,Medium
0.08,0.9962,3.28,0.59,Medium
0.08,0.9972,3.47,0.55,Medium
0.089,0.9958,3.35,0.54,Medium
0.083,0.9966,3.17,0.66,Medium
0.103,0.9957,3.38,0.55,Medium
0.074,0.9978,3.33,0.83,Medium
0.069,0.9968,3.3,1.2,Medium
0.114,0.997,3.25,0.73,Medium
0.074,0.9971,3.15,0.74,Medium
0.081,0.997,3.2,0.56,Medium
0.07,0.9971,3.04,0.63,Medium
0.076,0.9975,3.43,0.59,Medium
0.079,0.998,3.44,0.64,Medium
0.115,0.9968,3.21,0.71,Medium
0.081,0.9966,3.39,0.57,Medium
0.086,0.9962,3.41,0.39,Medium
0.086,0.9962,3.41,0.39,Medium
0.076,0.9962,3.44,0.58,Medium
0.084,0.9961,3.31,0.48,Medium
0.093,0.9986,3.54,0.66,Medium
0.086,0.9958,3.38,0.52,Medium
0.069,0.9958,3.41,0.56,Medium
0.086,0.997,3.36,0.57,Medium
0.076,0.9961,3.41,0.59,Medium
0.062,0.9966,3.39,0.64,Medium
0.107,0.9978,3.14,1.22,Medium
0.076,0.9978,3.48,0.53,Medium
0.079,0.9964,3.23,0.54,Medium
0.062,0.9966,3.39,0.64,Medium
0.102,0.9965,3.45,0.56,Medium
0.079,0.9967,3.39,0.56,Medium
0.077,0.9967,3.29,0.51,Medium
0.07,0.996,3.33,0.48,Medium
0.077,0.9967,3.29,0.51,Medium
0.467,0.9973,3.08,1.31,Medium
0.088,0.9969,3.46,0.79,Medium
0.104,0.9964,3.19,0.93,Medium
0.084,0.9964,3.15,0.66,Medium
0.104,0.9964,3.19,0.93,Medium
0.178,0.9962,3.3,0.57,Medium
0.075,0.998,3.49,0.52,Medium
0.082,0.996,3.39,0.48,Medium
0.081,0.9964,3.53,0.49,Medium
0.082,0.9964,3.54,0.48,Medium
0.118,0.9968,3.24,0.66,Medium
0.049,0.9937,3.63,0.63,Medium
0.09,0.9965,3.19,0.82,Medium
0.081,0.9972,3.48,0.64,Medium
0.09,0.9965,3.19,0.82,Medium
0.066,0.9954,3.34,0.58,Medium
0.117,0.9968,3.17,0.62,Medium
0.087,0.9944,3.54,0.52,Medium
0.095,0.995,3.35,0.54,Medium
0.095,0.995,3.35,0.54,Medium
0.071,0.9973,3.42,0.71,Medium
0.07,0.9973,3.42,0.72,Medium
0.071,0.9973,3.42,0.71,Medium
0.073,0.9969,3.48,0.5,Medium
0.09,0.9959,3.2,0.56,Medium
0.07,0.9982,3.37,0.49,Medium
0.07,0.9981,3.37,0.49,Medium
0.1,0.9961,3.19,0.62,Medium
0.085,0.9956,3.34,0.52,Medium
0.085,0.9958,3.35,0.78,Medium
0.08,0.9961,3.33,0.47,Medium
0.068,0.9969,3.48,0.56,Medium
0.067,0.9969,3.19,0.59,Medium
0.067,0.9969,3.19,0.59,Medium
0.27,0.9972,3.12,1.02,Medium
0.076,0.9972,3.44,0.52,Medium
0.077,0.9971,3.54,0.58,Medium
0.111,0.9971,3.26,0.53,Medium
0.082,0.9972,3.34,0.55,Medium
0.084,0.9968,3.2,0.55,Medium
0.077,0.9976,3.23,0.62,Medium
0.071,0.9964,3.28,0.55,Medium
0.071,0.9964,3.28,0.55,Medium
0.074,0.9968,3.46,0.59,Medium
0.1,0.9966,3.22,0.67,Medium
0.06,0.9959,3.3,0.43,Medium
0.06,0.9974,3.34,0.76,Medium
0.101,0.9962,3.14,0.57,Medium
0.072,0.9967,3.36,0.55,Medium
0.076,0.9957,3.39,0.54,Medium
0.101,0.9957,3.15,0.57,Medium
0.057,0.99525,3.42,0.6,Medium
0.263,0.9971,3,1.09,Medium
0.075,0.99685,3.38,0.52,Medium
0.09,0.9986,3.17,0.53,Medium
0.092,0.9959,3.23,0.59,Medium
0.073,0.99675,3.26,0.57,Medium
0.075,0.998,3.22,0.62,Medium
0.075,0.9968,3.49,0.67,Medium
0.611,0.9968,3.06,1.26,Medium
0.077,0.99625,3.29,0.65,Medium
0.07,0.99575,3.34,0.57,Medium
0.077,0.9963,3.28,0.67,Medium
0.064,0.9999,3.08,0.87,Medium
0.102,1.00015,3.31,0.71,Medium
0.102,1.00015,3.31,0.71,Medium
0.105,1.001,3.2,0.95,Medium
0.073,1.0001,3.05,0.64,Medium
0.086,0.9981,3.16,0.52,Medium
0.083,0.99855,3.67,0.73,Medium
0.094,0.9993,3.67,0.8,Medium
0.092,0.9994,3.51,0.72,Medium
0.112,0.9973,3.2,0.52,Medium
0.082,0.9966,3.36,0.52,Medium
0.076,0.9976,3.3,0.53,Medium
0.087,0.99645,3.39,0.68,Medium
0.09,0.99975,3.24,0.62,Medium
0.107,0.998,3.28,0.83,Medium
0.105,0.9958,3.13,0.52,Medium
0.08,0.9974,3.31,0.64,Medium
0.09,0.9974,3.27,0.73,Medium
0.12,1.0018,3.18,0.77,Medium
0.08,1.0001,3.26,0.88,Medium
0.099,0.9973,3.19,0.7,Medium
0.072,0.9992,3.05,0.56,Medium
0.071,0.9988,2.99,0.87,Medium
0.076,1,3.16,0.69,Medium
0.087,0.998,3.42,0.74,Medium
0.082,0.998,3.18,0.51,Medium
0.122,0.9994,3.47,0.53,Medium
0.064,0.9963,3.1,0.55,Medium
0.122,0.9994,3.47,0.53,Medium
0.075,0.9974,3.26,0.61,Medium
0.1,0.9966,3.27,0.64,Medium
0.087,0.9982,3.26,0.61,Medium
0.117,1.0014,3.32,1.07,Medium
0.091,0.9956,3.44,0.48,Medium
0.066,0.9976,3.62,0.68,Medium
0.047,0.9955,3.36,0.44,Medium
0.07,0.9978,3.24,0.6,Medium
0.074,0.9974,3.25,0.56,Medium
0.091,1.0004,3.16,0.49,Medium
0.091,1.0004,3.16,0.49,Medium
0.062,0.9951,3.08,0.6,Medium
0.081,0.9996,3.1,0.73,Medium
